Kent State University College of Aeronautics and Engineering,(216) 577-1235
Keylan Management Group,(216) 410-3024
Lake Blue Inc.,440-205-0050
"LDC, Inc., dba Land Design Consultants",(440) 255-8463
Linda Terdan Photography,(440) 478-4127
Lissa Marie House of Designs,(440) 667-6080
MBJ Photography
MC Sign Company,(440) 209-6200
"Media One Holdings, LLC - Mentor",(440) 974-5900
Mentor iPhone Repair,440-227-9677
Mentor Salt Cave,(440) 942-8228
"Mentor Signs & Graphics, Inc.",(440) 951-7446
"Mentor Television, Inc.",(440) 942-4132
Meritech,(216) 588-0557
MicroMet II,(440) 897-0228
Millennium Sales,(614) 793-9545
Minute Men HR Services,(216) 452-0100
Minuteman Press of Mentor,(440) 946-3311
Mr. Appliance of Mentor,(440) 701-4400
"NCM Studio, Inc.",(440) 205-0886
Next To Me,(440) 974-0900
"Nicholas & Son, Inc.",(440) 255-4610
OBM - Ohio Business Machines,(216) 485-2000
Office Depot,(216) 212-9835
OhioGuidestone Lake County WorksFirst Program,(440) 260-6445
"Ordnance Technology Service, Inc.",(440) 205-0677
Paulich Specialty,(440) 954-6600
Paychex,(330) 808-3102
"Peerless Electric Co., Inc.",(440) 290-7001
"PIP Marketing, Signs, Print",4409514777
Point Blank Range & Gun Shop,(440) 639-1911
Powell Remodeling,(440) 953-1804
Prelude Photography,(440) 266-1677
"Professional Answering Svc, Inc.",(440) 255-4060
"Pummel's Home Furnishings, Inc.",(440) 255-9787
Red Wing Shoe Store,(440) 585-5923
"Safety Compliance Associates, LLC",(440) 479-1539
Select Security,877-877-0345 op.6 ext.5604
Senior SafeGuard,440-463-4955
ServiceMaster Restoration by Lewis Construction,440-974-1441
Servpro of Mentor,(440) 953-1111
"Sievers Security, Inc.",(440) 352-4800
"The Faye Group, LLC d/b/a The Cleaning Authority",(440) 340-3323
The Reserves Network,(440) 974-7171
The Sadar Group,(440) 255-0707
Thomas Employment,(440) 974-2010
"Top Shelf Embroidery, LLC",(440) 209-8566
Total Calibration Solutions,440-299-4811
Town Planner Community Calendar,(330) 688-2770
TPI Efficiency,(216) 453-2500
TraceBack Screening,(440) 510-0330
"Transfer Express, Inc.",(440) 918-1900
"UPS Store, The",(440) 255-5555
"UPS Store, The",(440) 942-4550
US Bank,440-701-4288
Waste Management,(866) 797-9018
"WATER EXTRACTION TEAM (WET), INC.",(440) 953-0767
Welcome Wagon,(440) 336-5031
Western & Southern Life,(440) 520-7091
"Wood Specialists, LLC",(440) 639-9797
Acclaim Renovations & Design,(440) 974-8082
Allied Door Systems LLC,216-587-2100
"Anderson Heating-Cooling, Inc.",(440) 255-8500
"B.K. Electric, Inc.",(440) 255-9804
BestLight LED Corp.,440-205-1552
CLS Facility Services,(800) 548-3542
Consolidated Electrical Distributors,(440) 946-8950
Enterprise Door & Supply,(440) 942-3478
Fresh Coat Painters,(440) 334-0809
Great Lakes Granite Works,(440) 975-1000
Greater Cleveland Construction,216-696-3494
Hy-Gain Electric,(216) 210-8331
Jackson Taylor Contractors,(440) 290-0391
"JTO, Inc./MRLM Landscape Materials",(440) 352-1900
"Kenco Electric, Inc.",(440) 255-9188
Kline Rostocil Construction Corporation,440-357-4500
Kobella Plumbing Heating Cooling,(440) 729-2099
Lakeland Construction Group,(440) 579-1100
"Lanigan Heating & Air Conditioning, LLC",(440) 606-2035
M E Osborne Building Co.,(440) 951-2977
Mentor iPhone Repair,440-227-9677
Mentor Lumber & Supply Co.,(440) 255-8814
Mentor MFG,(440) 551-9051
"Mentor Television, Inc.",(440) 942-4132
Michael P. Ashby Inc.,(440) 974-7176
"MJB Enterprises of Lake County, Inc.",(440) 667-3490
"Monte Construction Co., Inc.",(440) 256-4424
My Plumber Inc.,(440) 257-0061
Newair Technologies,(440) 942-5161
"Osborne Group, The",(216) 219-0290
Parke Brothers Construction LLC,440-739-0053
"Peerless Electric Co., Inc.",(440) 290-7001
Platform Cement,(440) 602-9750
Powell Remodeling,(440) 953-1804
"Runyon & Sons Roofing, Inc.",(440) 974-6810
"Schiltz Crane, Inc",(440) 463-4468
ServiceMaster Restoration by Lewis Construction,440-974-1441
"Steve's Air Conditioning, Heating & Electrical Inc.",(440) 974-9870
Store with Style,(440) 974-8201
Sweethaven Doors & More,(440) 352-7100
"Titan Asphalt & Paving, Inc.",(440) 974-7040
Veteran Development and Construction,(440) 974-1011
VIBE Communications LLC,(585) 404-8998
Amerex Energy Services,216.701.5269
American Cancer Society,(888) 227-6446
American Red Cross,(216) 385-2579
Association of Specialists in Aging
AWT Foundation,440-525-9017
CareSource,216-744-5895
Cleveland Rape Crisis Center,(440) 354-7364
Crossroads,(440) 255-1700
"Extended Housing, Inc.",(440) 352-8424
"Fine Arts Association, The",(440) 951-7500
"Flux Metal Arts, LLC",(440) 205-1770
Hannah's Home,(440) 209-9615
Honorary Lifetime Member 1994,(440) 269-8096
Honorary Lifetime Member 2002,(440) 357-6649
Honorary Lifetime Member 2006,(440) 255-4119
JETT Consulting LLC,(330) 727-9428
Lake County ADAMHS Board,(440) 350-3117
Lake County Board of DD/Deepwood,(440) 350-5027
Lake County Council on Aging,(440) 205-8111
Lake County General Health District,(440) 350-2543
Lake Metropolitan Housing Authority,(440) 354-3347 x25
Lake/Geauga Educational Assistance Foundation,(440) 358-8045
Lake-Geauga Habitat for Humanity,440-226-3000
"Leadership Lake County, Inc.",440-290-7933
"Lifeline, Inc.",(440) 354-2148
Mentor Public Library,(440) 255-8811
My Kids Childcare Inc,440-354-3626
NHVS International,(440) 527-8610
OhioGuidestone Lake County WorksFirst Program,(440) 260-6445
Our Heritage Our Home Inc. - Ohio Celtic Fest,(440) 488-6315
Red Oak Camp,(440) 256-0716
Rotary Club of Mentor,440 725-9796
St. John Vianney Catholic Parish,(440) 255-0600
The Andy Nowacki Foundation,(440) 346-5740
Torchlight Youth Mentoring Alliance,(440) 352-2526
U.S.F.T.L./U.S. Flag & Touch Football League,(440) 974-8735
United Way of Lake County,(440) 352-3166
Western Reserve Junior Service League,(440) 255-7049
14th Congressional District,(440) 352-3939
18th Senate District,(614) 644-7718
63rd House District,(614) 644-6074
City of Mentor,(440) 290-6261
City of Mentor,(440) 974-5790
City of Mentor,(440) 488-6261
City of Mentor,(440) 255-4805
City of Mentor,(440) 257-4464
City of Mentor,(440) 255-0668
Concord Township Trustee,(440) 354-7500
Lake County Commissioner,(440) 350-2752
Lake County Commissioner (Cirino),(440) 350-2882
Lake County Commissioner (Hamercheck),(440) 350-2755
Lake County General Health District,(440) 350-2543
Lake County Ohio Port and Economic Authority,(440) 357-2290
Lake Metropolitan Housing Authority,(440) 354-3347 x25
Mentor Municipal Court,(440) 974-5744
"Ohio House of Representative, 62nd Dist.",(614) 466-7251
Calvetta Brothers Floor Show,(440) 255-4068
Carpet One Floor and Home,440-975-0097
Fresh Coat Painters,(440) 334-0809
Great Lakes Granite Works,(440) 975-1000
"Guhde Floor Coverings, Inc.",(440) 639-1990
Johnsons Landscaping Inc.,(440) 209-8587
"JTO, Inc./MRLM Landscape Materials",(440) 352-1900
Kerry's Master Landscapes,(440) 392-9160
Lasko & Ohio Irrigation-Landscape,(440) 639-1700
Lucas Pest Management Company,(440) 564-9849
"Michelle Figer Interiors, Inc.",(440) 350-0119
Powell Remodeling,(440) 953-1804
"Pummel's Home Furnishings, Inc.",(440) 255-9787
Walker Floors & Window Fashions LLC,440-259-1086
Bangerter Law Office,(440) 409-7898
"Carrabine & Reardon Co., LPA",(440) 974-9911
"Dworken & Bernstein Co., L.P.A.",440-352-3391
J.S. Automatic Company,440-639-4410
Kabb Law Firm,(216) 991-5222
Manning & Clair,(440) 266-0700
"Meyers, Roman, Friedberg & Lewis",216 831-0042 x 139
Thrasher Dinsmore & Dolan,(216) 255-5431
Wiles & Richards,(440) 942-6262 x111
Accurate Metal Sawing Service Co.,(440) 205-3205
ACO Inc.,(440) 639-7230
Aexcel Corporation,(440) 974-3800
Air Technical Industries,(440) 951-5191
American Polymer Standards Corporation,(440) 255-2211
"Apollo Manufacturing Company, LLC",(440) 951-9972
Avery Dennison,(440) 534-6000
Bruce Custom Awnings,(440) 772-1477
Chemsultants International Inc.,(440) 974-3080
Clark Rubber & Plastic,440-255-9793
Climax Metal Products Company,(440) 585-0300
"Component Repair Technologies, Inc.",(440) 255-1793
"Core-Tech, Inc.",(440) 946-8324
Cres Cor,(440) 350-1100
DeNora Tech LLC,(440) 487-5735
"E Manufacuturing Co., Inc.",(440) 951-0900
Elber Supply,(440) 358-1085
"Extreme Green Fabrication, LLC",(440) 853-1097
EYE Lighting International,(440) 350-7000
Fischer Special Tooling Corporation,(440) 951-8411
Flex Incorporated,(440) 946-9424
Fredon Corp,(440) 951-5200
"Glatte, Inc.",(440) 266-1681
Great Lakes Power,(440) 951-5111
Highland Products,(440) 352-4777
"Hyprolap Finishing, Inc.",(440) 352-0270
Industrial Thermoset Plastics,(440) 975-0411
"Interpak, Inc.",(440) 974-8999
Lake County Plating Corp.,(440) 255-8835
Libra Industries,(440) 974-7770
Lincoln Electric Company,(216) 383-2533
Lintern Corporation,(440) 255-9333
"Luminaud, Inc.",(440) 255-9082
"Malish Corporation, The",(440) 951-5356
Matrix Tool & Machine,(440) 255-0300
"Metal Seal Precision, Ltd.",(440) 255-8888
MGP Global Trading LLC (MG Spices,(440) 728-8875
"Monode Marking Products, Inc.",(440) 975-8802
MUM Industries,(440) 269-8155
No Limit Swiss,(440) 255-3310
North American Coating Labs,(440) 357-7000
"OH Technologies, Inc.",440-354-7007
Parker Hannifin,(440) 516-4135
PEP Manufacturing,440-205-8900
Polychem Corporation,(440) 357-1500
Process Technology,4409741300
Proficient Machining Company,(440) 942-4942
PROGAGE,(440) 951-4477
Quadrel Labeling Systems,(440) 602-4700
Quality Components Company,(440) 255-0606
Quality Machine Systems,(440) 269-8989
"R. T. & T., Inc.",(440) 974-8479
Race Winning Brands,440.951.6600
Roll-Kraft,(440) 205-3100
"Royal Plastics, Inc.",(440) 352-1357
S.T. Tool & Design,(440) 357-1250
Sheet Metal Fabricators Corporation,(440) 951-4848
Siemens Weiss Spindle Service,(440) 946-4003
"Silco, Inc.",(440) 975-8893
Spang Power Electronics,(440) 352-8600
"Star Precision Products, Inc.",(440) 266-7700
"Sumitomo Electric Carbide Mfg, Inc.",(440) 354-0600
"Sunbright USA, Inc.",(440) 205-0600
"Team Wendy, LLC",(216) 738-2518
Tecmark Corporation,(440) 205-7600
The Paquin Company,(216) 261-5700
Transcon Conveyor,(440) 255-7600
US Endoscopy,(440) 639-4494
Vicon Fabricating,(440) 205-6700
"Volk Optical, Inc.",(440) 942-6161
W. S. Tyler,(440) 974-1047
Watson Power Bulk Material Handling,(440) 255-8044
Digging Dogs Training Center,(440) 255-3500
Inn the Doghouse,(440) 527-8036
Our Pets Company,(440) 354-6500
Avenue Plaza,(440) 255-8177
Century 21 Asa Cox Homes,440639002
Chicago Title Insurance,(440) 354-3585
Coldwell Banker - Schmidt Realty,(440) 951-1410
Glazier Insurance Agency,(440) 576-2921
"Global Real Estate Advisors, Inc.",(440) 255-5552
Great Lakes Mall,(440) 255-6900
Hieronymus Management Company,(440) 974-9743
IRC Retail Centers,(877) 206-5656
Keller Williams Realty,440-255-5500
McCormick Legacy Estates - Professional Realty,(440) 856-3251
McDowell Homes Real Estate Services,(440) 205-2000
Mentor Commons Shopping Center,(216) 381-2900
"Osborne Group, The",(216) 219-0290
"Progressive Land Title Agency, Inc.",(440) 974-0776
The Bissett Team,440-223-4641
USA Management,440-479-8800
Xpress Shredding,(440) 942-8018
Aqua Blast,216-780-4663
Billy's - A Cappelli Martini Bar,(440) 585-8815
"Brew Mentor, LLC, The"
BurgerIM,(440) 510-8030
Busy Bees Pottery & Arts Studio,440-571-5201
Cater To You Catering Company,(440) 954-9800
Chick-fil-A Mentor,(440) 354-2924
Clean Eatz Mentor,(440) 290-8528
Confectionary Cupboard,(440) 205-5300
CoreLife Eatery,(440) 701-6206
Dominos,(954) 263-8801
Firehouse Subs,(440) 974-8515
Food for Thought,(440) 946-0383
Four Points by Sheraton Cleveland Eastlake,(440) 953-8000
Fuji Japan Steakhouse,(440) 205-1888
Great Harvest Bread Company,(440) 205-8199
Happy Moose Bar & Grill,(440) 953-9464
Imperial Dragon Chinese Restaurant,(440) 974-8838
J's Pizza Market,(440) 974-0919
Mandovi Enterprises - McDonald's Restaurants,(440) 974-8000
Manhattan Deli,(440) 974-0055
Master Pizza Mentor on the Lake,440-701-0777
"Melt Bar and Grilled, Inc.",(440) 530-3770
Moe's Southwest Grill,(703) 863-2627
Moe's Southwest Grill #2,440-856-1005
NOAH'S Event Venue,440-391-3533
Noosa Bistro,(440) 953-1088
Normandy Party Center and Catering,(440) 585-5850
Outback Steakhouse,(440) 205-9505
Panera Bread,(440) 639-1257
"Red, Wine and Brew",(440) 210-0024
Ridgewood Kitchen & Spirits,(440) 350-7015
Skye Restaurant & Pub,440-974-3572
Slice Pizzeria - M Gaspar Inc.,440-290-7212
Spats Cafe,(440) 352-0597
Spudnut Donuts,(440) 255-7257
The Indian Kitchen,(440) 650-0060
TJ's on the Avenue,(440) 953-5959
Verdi's Italian Market,(440) 266-8400
World Wines & Liquor,(440) 255-1311
Yours Truly Restaurants,(440) 255-3003
"A3 Living, LLC",(216) 272-5480
"Aligned Chiropractic and Physical Rehabilitation, Inc",(440) 953-3950
Lake County Captains,(440) 975-8085
Lake County YMCA,(440) 354-5656
Lake Metroparks,(440) 639-7275
Lake Metroparks,(440) 639-7275
Lake Metroparks,(440) 639-7275
Massage Envy,440-352-6666
Mentor Heisley Racquet & Fitness Club,(440) 357-6147
Mentor Ice Breakers,440-290-8502
Mentor Salt Cave,(440) 942-8228
Pioneer Waterland & Dry Fun Park,(440) 285-5200
Planet Fitness,(440) 255-8100
Point Blank Range & Gun Shop,(440) 639-1911
RollHouse Entertainment,(440) 946-5131
Second Sole,440-290-0185
Spotlight Dance Center,(440) 953-2623
"T-N-T Tanning Salon, Inc",440-578-1104
Vector Aviation LLC,(440) 974-2999
